lifeform,amo,amon,attn,cvel,mld,nao,ntot,ntra,phos,precip,psal,ptot,slca,spco2,sst,wspd
carniv,1,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0
crustacean,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1
diatom,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dinoflagellate,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fishlarvae,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1
gelatinous,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1
holoplankton,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1
lg_copepods,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
lg_phyto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
meroplankton,1,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1
noncarniv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
pelagic_diatoms,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
phytoplankton,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sm_copepods,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
sm_phyto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tycho_diatoms,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
